Sample,Condition,F3,F4,F7,F8,Fz,Frontal_Mean_Relative
8,1-back,1.0,1.0,1.0,1.0,1.0,1.0
8,2-back,0.9454941739161085,0.9947483761027053,0.6198903414853132,0.6772275293481264,1.1963095897898475,0.8867340021284201
8,3-back,0.8163547206625792,0.7836873664844245,0.6091752663984288,0.5040155972006022,0.9600782599492017,0.7346622421390473
8,4-back,0.9952353209872865,0.8288146571490053,0.9645043796504803,0.6928140831277264,1.0074684604172168,0.8977673802663431
9,1-back,1.0,1.0,1.0,1.0,1.0,1.0
9,2-back,0.9230528050390849,0.843731970002397,1.3362172485669097,1.0028909424259915,1.046780698444472,1.030534732895771
9,3-back,1.1212848362529597,0.9208756709226484,1.7605336750278981,1.5147103336319243,1.2289001021446706,1.3092609235960204
9,4-back,0.8796220293314573,0.7531540283203729,0.796320002308628,0.6984178770091581,1.005755118568598,0.8266538111076429
10,1-back,1.0,1.0,1.0,1.0,1.0,1.0
10,2-back,1.2889875044834112,1.1791420941799422,1.5813213525194576,1.3496950551343767,1.2954884319039537,1.3389268876442284
10,3-back,2.1231666491462415,1.8588692609719433,2.6296830094245753,2.0921796544395725,1.9614931643306408,2.1330783476625945
10,4-back,2.2134804865980335,1.9111565559687067,2.7006873459803518,2.21802488702757,2.083847765627694,2.225439408240471
11,1-back,1.0,1.0,1.0,1.0,1.0,1.0
11,2-back,0.7161902425625392,0.8495075739791632,0.7184445459269124,0.792307362268734,0.8971329455238575,0.7947165340522412
11,3-back,0.567870838102266,0.7763165718917693,0.7208547362360184,0.8093338095157374,0.6691251862638357,0.7087002284019255
11,4-back,0.6296070953323715,0.6686320401315301,0.6115115286590266,0.5563454954927558,0.7384965999508318,0.640918551913303
12,1-back,1.0,1.0,1.0,1.0,1.0,1.0
12,2-back,0.8510789940898751,1.2734897643900087,1.1897755884769137,1.4009250970365974,1.145428443510615,1.1721395775008019
12,3-back,0.872624183735226,0.8445833730326601,1.0299253151587102,1.0629010584959542,0.875774422094456,0.9371616705034013
12,4-back,1.5278360145430803,1.4294018749162196,2.2895684505584213,2.3522811320684553,1.555683994909408,1.8309542933991172
13,1-back,1.0,1.0,1.0,1.0,1.0,1.0
13,2-back,0.7503174255406109,0.8586655873445787,0.8455840670797274,1.0459678819524276,0.7936853373666091,0.8588440598567908
13,3-back,0.8174642199898385,1.3199825100808058,0.867282672696207,1.0155319897590545,0.8021041495342027,0.9644731084120218
13,4-back,0.9895387789236935,1.4647337300079752,1.0283287568284585,1.2790301499642418,1.0208604267968688,1.1564983685042476
14,1-back,1.0,1.0,1.0,1.0,1.0,1.0
14,2-back,1.0847392129683964,1.0927136296815236,1.1186924903530342,1.057481716336426,1.0729000538698859,1.0853054206418533
14,3-back,1.0210573566894283,1.1442823290422346,1.1252190385220402,1.1561544117253602,1.013671617834939,1.0920769507628005
14,4-back,0.878567397406341,0.8859257919560255,0.9389356670664251,0.9049634966808188,0.8688245538114131,0.8954433813842047
15,1-back,1.0,1.0,1.0,1.0,1.0,1.0
15,2-back,1.2354788781450274,1.0935979982766197,1.213101880670148,1.0940834817498037,1.130757423662235,1.1534039325007668
15,3-back,1.392207037045637,1.255719564160681,1.3517010805557597,1.124373507940554,1.4264185602465482,1.310083949989836
15,4-back,1.5080503459916554,1.3743594889071566,1.633072369816389,1.3656732102544227,1.3404511516707573,1.4443213133280763
16,1-back,1.0,1.0,1.0,1.0,1.0,1.0
