,Sample,Condition,F3_Mean,F4_Mean,F7_Mean,F8_Mean,Fz_Mean,F3_Median,F4_Median,F7_Median,F8_Median,Fz_Median,F3_Q75,F4_Q75,F7_Q75,F8_Q75,Fz_Q75,Frontal_Mean,Frontal_Median,Frontal_Q75
10,3,3-back,2.772166988193492e-10,1.243430554155579e-09,8.800548037272033e-10,7.43737326564385e-10,2.71411613914743e-10,1.0785586171086436e-10,1.4001766050457608e-10,1.3611930574705162e-10,1.5403322678665047e-10,1.05812849803045e-10,4.680771741051666e-10,3.7595365506107227e-10,5.351632642454799e-10,7.053955630726291e-10,4.200937340016888e-10,6.83170199436252e-10,1.2876778091043753e-10,5.009366780972073e-10
11,3,4-back,5.889407724532378e-10,5.830206192333872e-10,8.785320331605246e-10,8.439161215964892e-10,5.492703845155809e-10,5.988690222845619e-10,4.960998944770587e-10,8.214309387257066e-10,9.3799210445843e-10,5.409792744604243e-10,8.592270235945149e-10,6.976726224850892e-10,1.1979428224549503e-09,1.2740129801393558e-09,7.301376262472632e-10,6.887359861918439e-10,6.790742468812363e-10,9.517986149842347e-10
12,4,1-back,2.252980347280831e-10,1.7668456974025088e-10,2.773022386697784e-10,2.4625057710440515e-10,2.1233178858607013e-10,1.6577601481618447e-10,1.6539834707597398e-10,1.526782762042035e-10,1.2427594057305128e-10,2.1458106880609756e-10,3.015285199580235e-10,2.3647273860719247e-10,4.523848823182939e-10,3.641801113642966e-10,2.696039315039031e-10,2.2757344176571754e-10,1.6454192949510219e-10,3.2483403675034193e-10
13,4,2-back,3.0565437358992617e-10,2.4582071375099084e-10,3.8831808186060805e-10,4.1552630734448726e-10,3.053186147271396e-10,2.6955503505714423e-10,2.38964373962693e-10,3.7250463128772826e-10,3.8598408858597984e-10,2.5806657679863317e-10,3.7224810365947045e-10,3.2288322289002084e-10,5.180273619535628e-10,5.702335597218363e-10,3.6329462123853753e-10,3.3212761825463036e-10,3.050149411384357e-10,4.2933737389268555e-10
14,4,3-back,3.148942611499297e-10,2.512962956037226e-10,3.924034124164752e-10,3.979438166959369e-10,2.8571611987659893e-10,2.9056425442364015e-10,2.4278862257146216e-10,3.6085245526612016e-10,3.4611606152337616e-10,2.570700043554419e-10,3.9413105188475686e-10,3.0644014475104485e-10,5.097737608720611e-10,5.565203107081142e-10,3.4350852560788007e-10,3.284507811485327e-10,2.994782796280081e-10,4.2207475876477143e-10
15,4,4-back,2.5353692564762564e-10,1.8350014447096466e-10,2.8427773185898084e-10,2.6665602281233523e-10,2.451025566454954e-10,1.90797532520294e-10,1.5477490893382476e-10,2.3349990564423205e-10,2.3757481714784444e-10,2.0831260371700841e-10,3.2475177769918545e-10,2.479553228846293e-10,4.431132617333217e-10,4.1233933018166205e-10,2.9852778621807687e-10,2.466146762870804e-10,2.049919535926407e-10,3.4533749574337504e-10
16,5,1-back,1.4881998410996493e-10,2.1998947904580825e-10,6.666996980794436e-11,1.9963295097608573e-10,2.2545077745048014e-10,1.1316012071287955e-10,1.7534832352931527e-10,5.891767343371703e-11,1.6033172257915092e-10,1.6653680891647656e-10,2.0354110748644558e-10,2.5367868835811623e-10,9.200982891498225e-11,2.2480282236788388e-10,2.618487619260443e-10,1.7211263227805667e-10,1.3485892983430787e-10,2.0717624181069446e-10
17,5,2-back,1.3244529192260654e-10,1.495873226179327e-10,6.531543537048998e-11,1.5474805935346485e-10,2.461707429110213e-10,1.209999600031221e-10,1.27282039229333e-10,6.436990219775509e-11,1.5502643877013196e-10,1.864328176585008e-10,1.6330685039341928e-10,1.883262992162282e-10,8.135367727767448e-11,1.9432465200374954e-10,2.60119791587286e-10,1.4965337043510307e-10,1.3082223157176859e-10,1.774862540956715e-10
18,5,3-back,1.2484840596112327e-10,1.5820973733717855e-10,6.088003671838088e-11,1.5793128625642942e-10,2.762011455602597e-10,1.0419989691953652e-10,1.4030567365755734e-10,5.959525063641046e-11,1.367562512623717e-10,1.5288542888807307e-10,1.461199856848029e-10,1.9278787241680465e-10,8.39839796897656e-11,1.9263166106707515e-10,3.327732564839048e-10,1.5561412236667436e-10,1.187485002727898e-10,1.8965935106847064e-10
19,5,4-back,1.8015629315964831e-10,1.8470028042262027e-10,1.0031378520427561e-10,1.949809971339299e-10,2.2032544674564668e-10,1.5375410642406388e-10,1.6438433943575147e-10,8.21426521930388e-11,1.5937053509149666e-10,2.0493086045486059e-10,1.9173273853190622e-10,2.48825118385469e-10,1.2757300466360483e-10,2.8472607707111503e-10,2.8278068247362123e-10,1.7609536053322417e-10,1.5291649871984228e-10,2.2712752422514325e-10
20,6,1-back,1.5997412405241905e-10,1.4228332451540534e-10,1.3145305551281624e-10,9.683861303750864e-11,1.6380840175411027e-10,1.1984682104997711e-10,1.068016811506437e-10,7.772696649173679e-11,6.34269370234529e-11,1.2565861105613213e-10,1.7709426175736577e-10,1.6179286484394512e-10,1.4454331784988186e-10,9.188765426818459e-11,1.881655330287711e-10,1.388715037744519e-10,9.869220335438852e-11,1.5269672634962969e-10
21,6,2-back,1.750821162790889e-10,1.0572008354403594e-10,1.1506479728409199e-10,8.549886660474588e-11,1.2866468803282637e-10,1.2530490347814246e-10,6.952166622484415e-11,5.829974373022823e-11,3.7329200860471297e-11,8.739436171338013e-11,2.2129983953902813e-10,1.0879283250557499e-10,9.494994252459939e-11,6.963725183119002e-11,1.3132890183420364e-10,1.220061103489578e-10,7.556997520141325e-11,1.252017536469192e-10
22,6,3-back,1.797146440057505e-10,1.1216034559682441e-10,1.5370595373045506e-10,9.705295701580662e-11,1.4417069328851823e-10,1.3633517230127114e-10,9.4770778136064e-11,1.1305775587906859e-10,5.920294904357221e-11,1.1746945193989243e-10,2.3367871483761057e-10,1.4439379920550915e-10,2.1924872561306982e-10,1.2282652506424976e-10,1.8050531273827574e-10,1.3736091872747097e-10,1.0416722145997366e-10,1.8013061549174303e-10
23,6,4-back,1.7369689183206984e-10,1.542284546414985e-10,2.2155097814115272e-10,1.6331460002212403e-10,1.9163296589101953e-10,1.2900894432054263e-10,1.0931936239358313e-10,1.442032974741539e-10,9.537040728361684e-11,1.3978813007954407e-10,2.260102843586896e-10,1.7121604573726142e-10,2.637989875776287e-10,2.1900063980356963e-10,2.557838724891577e-10,1.8088477810557294e-10,1.235380283102881e-10,2.2716196599326143e-10
24,7,1-back,1.9133425577038462e-10,1.881158264571376e-10,2.2388712105880225e-10,1.9445232901208054e-10,2.112389297350131e-10,1.4960212074361253e-10,1.6131994566496928e-10,1.0326669165568984e-10,1.297206971159294e-10,1.6948652530442736e-10,2.526120116308305e-10,2.3548202461438357e-10,2.7434580036906286e-10,2.6833158518097675e-10,2.8527446220031367e-10,2.0180569240668363e-10,1.426791960969257e-10,2.632091767991135e-10
25,7,2-back,1.6831776487614918e-10,1.2775028360263712e-10,2.329795692717281e-10,1.4683633361651188e-10,1.485766797718714e-10,1.3757924582936285e-10,1.2176397495095628e-10,1.2682930185619443e-10,8.904169316882619e-11,1.4255728831630452e-10,1.95698532536896e-10,1.4726278098102844e-10,2.456682882847588e-10,1.1537126595562068e-10,1.706653034062703e-10,1.6489212622777957e-10,1.2355430082432883e-10,1.7493323423291486e-10
26,7,3-back,3.762536482110451e-10,3.377223864263154e-10,5.96701167992241e-10,4.5920139594415557e-10,3.595204937865503e-10,1.7143947873161062e-10,1.5758712611695287e-10,2.268627706322705e-10,2.2102342812284342e-10,1.5319150669912472e-10,3.094777864251565e-10,2.7990800867295135e-10,5.304662259094892e-10,3.732737079305861e-10,3.1502505663618015e-10,4.2587981847206145e-10,1.8602086206056044e-10,3.6163015711487267e-10
27,7,4-back,3.778945752366986e-10,2.899692854814742e-10,5.191298828983639e-10,3.823113743157835e-10,3.466324252891377e-10,2.344366108583868e-10,1.748056879560326e-10,1.8535008275408428e-10,1.8523856003317252e-10,2.1566971335034128e-10,5.043772297770037e-10,3.1286965732449347e-10,8.128821585646045e-10,5.268775906138665e-10,3.8975033458023915e-10,3.831875086442916e-10,1.9910013099040348e-10,5.093513941720414e-10
28,8,1-back,2.2021243932683728e-10,2.1628985553042208e-10,2.239699065605385e-10,2.0032786318722055e-10,2.6279309876760205e-10,1.9360846292706683e-10,1.3487632116261078e-10,1.2770047198236523e-10,8.380025527555012e-11,1.9460385232984867e-10,2.392078173731549e-10,1.9023147752170924e-10,1.9658669689084428e-10,1.8215183185066974e-10,3.0597977663723093e-10,2.2471863267452408e-10,1.4691787273548832e-10,2.2283152005472182e-10
29,8,2-back,2.0820957840737916e-10,2.151539825563761e-10,1.388367818602459e-10,1.3566754384587085e-10,3.1438190418627287e-10,1.7758507715057107e-10,1.7625256918684523e-10,1.3170018948097303e-10,1.1798649876927746e-10,2.357808679057085e-10,2.7656996579549846e-10,3.0492704716678656e-10,1.7899918122701847e-10,1.783854871794337e-10,4.0709605455734864e-10,2.02449958171229e-10,1.6786104049867504e-10,2.6919554718521717e-10
30,8,3-back,1.797714643930854e-10,1.6950362727793312e-10,1.3643692749424723e-10,1.0096836760022749e-10,2.5230194099145807e-10,1.747473531226556e-10,1.526455698096677e-10,1.21413651683366e-10,7.698986629086746e-11,2.3866965897053635e-10,2.3859484572623777e-10,2.0829105445903397e-10,1.7465659909489747e-10,1.3706251708687238e-10,2.8418844722986327e-10,1.6779646555139025e-10,1.5289321997541862e-10,2.0855869271938098e-10
31,8,4-back,2.1916319773883827e-10,1.7926420245625465e-10,2.1601995578754822e-10,1.3878996485899082e-10,2.6475575862366566e-10,1.550073189271693e-10,1.3289234510936925e-10,1.1901445332567775e-10,1.0424487032005333e-10,1.7628642951955932e-10,2.1502180128675568e-10,1.9051349093647336e-10,2.797387864632744e-10,2.1489814960607434e-10,2.4611829725281795e-10,2.0359861589305953e-10,1.3748908344036578e-10,2.2925810510907915e-10
32,9,1-back,3.6223509400795087e-10,4.3674033533749447e-10,2.4483583421230435e-10,2.9877562256268376e-10,3.8397287932607386e-10,2.8232557149935824e-10,3.736985992055308e-10,1.491739521097567e-10,2.0369397083893899e-10,3.293647606914142e-10,4.4017258702282446e-10,5.069062777111119e-10,2.5599542942246095e-10,2.916376598760487e-10,4.457133249263207e-10,3.4531195308930144e-10,2.676513708689998e-10,3.8808505579175324e-10
33,9,2-back,3.3436211960763567e-10,3.684917835138117e-10,3.2715386474174936e-10,2.996393656858023e-10,4.0193539880468254e-10,3.1484475869084144e-10,3.2042478801780523e-10,2.240308737078686e-10,2.083759701811638e-10,3.5048825321700565e-10,5.022377146037476e-10,5.072423904121658e-10,3.7755822771719793e-10,3.3928398384159974e-10,5.122609625995817e-10,3.463165064707363e-10,2.836329287629369e-10,4.477166558348585e-10
34,9,3-back,4.0616871806978065e-10,4.021835493228977e-10,4.3104173098430936e-10,4.525585229330086e-10,4.718643106245954e-10,2.884247250453122e-10,2.920049256974679e-10,2.5014424917260477e-10,2.8907038289335547e-10,3.3096617574996203e-10,4.4348154182159237e-10,5.051211071249374e-10,5.401811550417843e-10,5.609505674042831e-10,6.37814899939366e-10,4.3276336638691834e-10,2.9012209171174045e-10,5.375098542663927e-10
35,9,4-back,3.186299684863449e-10,3.2893274288942447e-10,1.9496767206517705e-10,2.0867023601231912e-10,3.861826887737214e-10,2.7702629693673314e-10,2.792407010873922e-10,1.60272059610093e-10,1.7943316840510694e-10,3.531022534330564e-10,3.805995401665549e-10,4.179852920269645e-10,2.661092482804593e-10,2.8870615584305753e-10,4.574664331509598e-10,2.874766616453974e-10,2.4981489589447633e-10,3.6217333389359916e-10
36,10,1-back,2.9832034498713966e-10,1.8634490379286308e-10,4.0996575099163365e-10,2.2104285340400285e-10,3.044484594397175e-10,1.1933268212263648e-10,1.1007673353899888e-10,9.611634585895168e-11,1.0524099023651272e-10,1.3626816902469502e-10,2.6059471215113914e-10,1.6692565452654947e-10,1.9783351820338412e-10,1.567064632731276e-10,2.9112700245314884e-10,2.840244625230714e-10,1.1340698415635894e-10,2.1463747012146984e-10
