Sample,Condition,Electrode,Epoch,Theta_Power
1,1-back,F8,27,4.563256421103015e-11
1,1-back,F8,28,9.017804429835488e-11
1,1-back,F8,29,4.184165169840385e-11
1,1-back,F8,30,5.135651307540753e-11
1,1-back,F8,31,2.119354913891644e-10
1,1-back,F8,32,5.670786749705306e-11
1,1-back,F8,33,1.0613001077124464e-10
1,1-back,F8,34,6.38702956506098e-11
1,1-back,F8,35,4.300628731858154e-11
1,1-back,F8,36,3.3647849055269857e-11
1,1-back,F8,37,1.4622267729372897e-11
1,1-back,F8,38,2.3724520849022393e-11
1,1-back,F8,39,3.708715677021315e-11
1,1-back,F8,40,2.1657477116046805e-10
1,1-back,F8,41,5.313023503269733e-11
1,1-back,F8,42,8.636240392351797e-11
1,1-back,F8,43,1.1155256749753274e-11
1,1-back,F8,44,5.368023664497804e-11
1,1-back,F8,45,8.05682793537622e-11
1,1-back,F8,46,2.6323446722734557e-11
1,1-back,F8,47,8.02088311436965e-11
1,1-back,F8,48,4.123037536436687e-11
1,1-back,F8,49,6.904491805897703e-11
1,1-back,Fz,1,2.6988248147629294e-11
1,1-back,Fz,2,2.3994473937189226e-10
1,1-back,Fz,3,4.1676411814425676e-10
1,1-back,Fz,4,1.9401327899206912e-10
1,1-back,Fz,5,1.8442892299262978e-11
1,1-back,Fz,6,3.467437009870401e-11
1,1-back,Fz,7,2.6750419269899134e-10
1,1-back,Fz,8,3.749614607064453e-11
1,1-back,Fz,9,5.105405050387485e-11
1,1-back,Fz,10,2.1455039999444155e-10
1,1-back,Fz,11,4.784775519659705e-11
1,1-back,Fz,12,7.528757976345825e-11
1,1-back,Fz,13,7.984657447367849e-11
1,1-back,Fz,14,1.6540255719781643e-10
1,1-back,Fz,15,3.9027248573143676e-11
1,1-back,Fz,16,8.48729679455448e-11
1,1-back,Fz,17,6.249891958434969e-11
1,1-back,Fz,18,5.2397146396790787e-11
1,1-back,Fz,19,1.8770751465882313e-11
1,1-back,Fz,20,2.5783123934419903e-10
1,1-back,Fz,21,7.010852742059972e-11
1,1-back,Fz,22,1.3128130677774073e-10
1,1-back,Fz,23,9.681768152076543e-11
1,1-back,Fz,24,4.712918261930191e-11
1,1-back,Fz,25,3.749383234015589e-10
1,1-back,Fz,26,1.656453245864697e-10
1,1-back,Fz,27,9.624176164818855e-11
1,1-back,Fz,28,1.7307247884489593e-10
1,1-back,Fz,29,4.561869369437565e-11
1,1-back,Fz,30,6.772733545111034e-11
1,1-back,Fz,31,9.031156416262457e-11
1,1-back,Fz,32,6.940775000354871e-11
1,1-back,Fz,33,2.4775065168867386e-10
1,1-back,Fz,34,1.3243616584020502e-10
1,1-back,Fz,35,3.8658123384917106e-11
1,1-back,Fz,36,3.831953603309248e-11
1,1-back,Fz,37,2.6168513671265888e-11
1,1-back,Fz,38,4.169047875473121e-11
1,1-back,Fz,39,2.1648729775832168e-11
1,1-back,Fz,40,1.731308224563737e-10
1,1-back,Fz,41,6.691529745420005e-11
1,1-back,Fz,42,1.0527765276864742e-10
1,1-back,Fz,43,1.0521672270401107e-10
1,1-back,Fz,44,8.744769731855105e-11
1,1-back,Fz,45,1.1770389863667252e-10
1,1-back,Fz,46,4.656500050181474e-11
1,1-back,Fz,47,5.577194448673817e-11
1,1-back,Fz,48,2.276249477960115e-11
1,1-back,Fz,49,8.193910482689608e-11
1,2-back,F3,1,2.8913236365335065e-11
1,2-back,F3,2,1.1105422917443227e-10
1,2-back,F3,3,7.293424033654266e-11
1,2-back,F3,4,1.4934238700692806e-10
1,2-back,F3,5,1.5741604439686295e-11
1,2-back,F3,6,5.077971079930125e-11
1,2-back,F3,7,9.630610316793557e-11
1,2-back,F3,8,5.2314527753490485e-11
1,2-back,F3,9,8.612832877305536e-11
1,2-back,F3,10,5.206905857908753e-11
1,2-back,F3,11,1.358508992092803e-10
1,2-back,F3,12,1.3227329013147227e-10
1,2-back,F3,13,9.788920911924373e-11
1,2-back,F3,14,1.6585247080996075e-10
1,2-back,F3,15,8.652016072477469e-11
1,2-back,F3,16,1.4412242112430587e-10
1,2-back,F3,17,3.324951354126925e-10
1,2-back,F3,18,6.593805865688138e-11
1,2-back,F3,19,1.1024283838779876e-10
1,2-back,F3,20,1.0892804032709287e-10
1,2-back,F3,21,1.9356975370210474e-10
1,2-back,F3,22,1.42802936558486e-10
1,2-back,F3,23,1.4634251390572348e-10
1,2-back,F3,24,1.670910768735211e-10
1,2-back,F3,25,2.1879570819232186e-10
1,2-back,F3,26,4.053871295037876e-10
1,2-back,F3,27,6.95789526019017e-11
1,2-back,F3,28,1.6775714345780813e-10
1,2-back,F3,29,4.1153392858786326e-11
1,2-back,F3,30,9.688697973178823e-11
1,2-back,F3,31,9.158423011646929e-11
1,2-back,F3,32,4.435967440813695e-10
1,2-back,F3,33,1.220364052891585e-10
1,2-back,F3,34,1.7813360223552503e-10
1,2-back,F3,35,8.193556672362988e-11
1,2-back,F3,36,3.7606348310625906e-11
1,2-back,F3,37,1.0046775693895033e-10
1,2-back,F3,38,1.6743061017577116e-10
1,2-back,F3,39,5.813581058906131e-11
1,2-back,F3,40,1.4682656635456548e-10
1,2-back,F3,41,1.8803209655651211e-10
1,2-back,F3,42,4.6240056572136266e-11
1,2-back,F3,43,2.3167875582272178e-10
1,2-back,F3,44,1.0103313899080604e-10
1,2-back,F4,1,2.972633117421444e-11
1,2-back,F4,2,7.84153518675519e-11
1,2-back,F4,3,8.570693108845573e-11
1,2-back,F4,4,1.2872922715675898e-10
1,2-back,F4,5,1.8707987469866066e-11
1,2-back,F4,6,3.50875648552239e-11
1,2-back,F4,7,5.554657465264313e-11
1,2-back,F4,8,9.946568072911434e-11
1,2-back,F4,9,1.0973555613491276e-10
1,2-back,F4,10,4.095930530506349e-11
1,2-back,F4,11,1.3853095252478659e-10
1,2-back,F4,12,7.645761780725344e-11
1,2-back,F4,13,7.663523364006746e-11
1,2-back,F4,14,1.0809114778805001e-10
1,2-back,F4,15,9.613582484973262e-11
1,2-back,F4,16,8.196054492509837e-11
1,2-back,F4,17,3.778415086073729e-10
1,2-back,F4,18,8.666225917266264e-11
1,2-back,F4,19,7.490211696459752e-11
1,2-back,F4,20,8.711040374132079e-11
1,2-back,F4,21,1.4459561554493907e-10
1,2-back,F4,22,1.5279655742389447e-10
1,2-back,F4,23,1.0998293701094855e-10
1,2-back,F4,24,1.247173745822972e-10
1,2-back,F4,25,1.800303433184718e-10
1,2-back,F4,26,3.3697956327307946e-10
1,2-back,F4,27,8.218279276143956e-11
1,2-back,F4,28,1.0222717986981391e-10
1,2-back,F4,29,4.3593865680748244e-11
1,2-back,F4,30,5.267299623736605e-11
1,2-back,F4,31,7.467532910630546e-11
1,2-back,F4,32,2.701344388470447e-10
1,2-back,F4,33,1.8213732856485402e-11
1,2-back,F4,34,1.6714584657240733e-10
1,2-back,F4,35,1.0536688312678782e-10
1,2-back,F4,36,4.0905687886823174e-11
1,2-back,F4,37,6.900413043027247e-11
1,2-back,F4,38,1.3538204403266561e-10
1,2-back,F4,39,6.524050732088143e-11
1,2-back,F4,40,1.0370054190935687e-10
1,2-back,F4,41,1.2218847471972112e-10
1,2-back,F4,42,3.838721943305908e-11
1,2-back,F4,43,1.0481851750855477e-10
1,2-back,F4,44,1.8064831625505243e-10
1,2-back,F7,1,8.619485163166803e-11
1,2-back,F7,2,8.920520557423864e-11
1,2-back,F7,3,3.4727079278766027e-10
1,2-back,F7,4,1.4297775199362009e-10
1,2-back,F7,5,4.134626802235081e-10
1,2-back,F7,6,4.2588589815711914e-10
1,2-back,F7,7,7.181062161220637e-11
1,2-back,F7,8,7.61397190822149e-11
1,2-back,F7,9,1.2499724101195404e-10
1,2-back,F7,10,1.8549483407938477e-10
1,2-back,F7,11,1.5667844433329865e-10
1,2-back,F7,12,7.811593780829997e-11
1,2-back,F7,13,1.2267634419578855e-10
1,2-back,F7,14,1.2874991438600392e-10
1,2-back,F7,15,1.4019415482168567e-10
1,2-back,F7,16,1.1855082587072725e-10
1,2-back,F7,17,3.042993770687658e-10
1,2-back,F7,18,4.3929927819837905e-11
1,2-back,F7,19,5.1824850631530985e-11
1,2-back,F7,20,1.0798707034774168e-10
1,2-back,F7,21,2.949040825630615e-10
1,2-back,F7,22,1.7928864485300636e-10
1,2-back,F7,23,1.6602920439327214e-10
1,2-back,F7,24,1.3694098762063134e-10
1,2-back,F7,25,6.211050786753199e-11
1,2-back,F7,26,5.749097206505856e-10
1,2-back,F7,27,1.0169114757205879e-10
1,2-back,F7,28,1.141558473471615e-10
1,2-back,F7,29,5.5625127510391296e-11
1,2-back,F7,30,8.036252280346076e-11
1,2-back,F7,31,6.50045910944965e-11
1,2-back,F7,32,4.328509229802162e-10
1,2-back,F7,33,1.9465115768574204e-10
1,2-back,F7,34,1.3452021387736228e-10
1,2-back,F7,35,9.465650328714305e-11
1,2-back,F7,36,1.0709565571713138e-10
1,2-back,F7,37,1.70048717020505e-10
1,2-back,F7,38,1.9584067018920813e-10
1,2-back,F7,39,1.9900660856108767e-11
1,2-back,F7,40,6.791616139311287e-11
1,2-back,F7,41,1.6033349922146372e-10
1,2-back,F7,42,3.440361738606276e-11
1,2-back,F7,43,9.878706930520176e-11
1,2-back,F7,44,6.965110311015878e-11
1,2-back,F8,1,5.4614823108396266e-11
1,2-back,F8,2,9.984204700056856e-11
1,2-back,F8,3,1.0136542725034152e-10
1,2-back,F8,4,1.3430386570281338e-10
1,2-back,F8,5,3.121421219433647e-11
1,2-back,F8,6,3.00465763926677e-11
1,2-back,F8,7,2.230466369779591e-11
1,2-back,F8,8,3.3139238115090254e-11
1,2-back,F8,9,8.681256926576173e-11
1,2-back,F8,10,3.555697272896826e-11
1,2-back,F8,11,1.4013377472031744e-10
1,2-back,F8,12,7.387832347981754e-11
1,2-back,F8,13,8.01431028114586e-11
1,2-back,F8,14,1.5613339531523306e-10
1,2-back,F8,15,1.1136735821325614e-10
1,2-back,F8,16,8.245379180116925e-11
1,2-back,F8,17,3.240489845171328e-10
1,2-back,F8,18,7.92908513592291e-11
1,2-back,F8,19,8.517008170645301e-11
1,2-back,F8,20,9.579796225185736e-11
1,2-back,F8,21,1.6528491938758057e-10
1,2-back,F8,22,1.3078464212672295e-10
1,2-back,F8,23,1.1699204470245728e-10
1,2-back,F8,24,8.88209608090461e-11
1,2-back,F8,25,1.1539070961194221e-10
1,2-back,F8,26,3.5002257169539276e-10
1,2-back,F8,27,5.833620205457773e-11
