,Sample,Condition,F3_Mean,F4_Mean,F7_Mean,F8_Mean,Fz_Mean,F3_Median,F4_Median,F7_Median,F8_Median,Fz_Median,F3_Q75,F4_Q75,F7_Q75,F8_Q75,Fz_Q75,Frontal_Mean,Frontal_Median,Frontal_Q75
12,4,1-back,1.0896942199593171e-07,8.514580683936175e-08,1.512612911810778e-07,1.498077029770031e-07,1.0024052864609401e-07,1.20037470251572e-07,9.282937149088045e-08,1.8025057169831032e-07,1.8136103421229935e-07,1.0842974062921949e-07,1.5875981437204343e-07,1.2590212636009437e-07,2.3213832300490526e-07,2.3814913561309993e-07,1.44780739449982e-07,1.1908495032789368e-07,1.365816376564563e-07,1.79946027760025e-07
13,4,2-back,1.6153227072435255e-07,1.2642599233672802e-07,2.3056431580033992e-07,2.585087681357051e-07,1.5160848867291528e-07,1.5323146731662185e-07,1.2299834682461962e-07,2.3017810891246847e-07,2.350460500620501e-07,1.376883274639528e-07,2.2437978212247488e-07,1.7483240834970643e-07,3.111495771044461e-07,3.541549247976431e-07,2.0244530927980568e-07,1.8572796713400818e-07,1.7582846011594256e-07,2.533924003308153e-07
14,4,3-back,1.6004391979043688e-07,1.4106570816441775e-07,2.3156095997413e-07,2.6324251753881655e-07,1.4617018084380923e-07,1.4107394646759297e-07,1.176763504606589e-07,2.0003829883975403e-07,2.1669431508650046e-07,1.347251878773975e-07,1.9510790290107732e-07,2.0098185918149413e-07,3.0258936975159536e-07,3.626954126776284e-07,1.919982346390586e-07,1.8841665726232207e-07,1.6204161974638077e-07,2.5067455583017076e-07
15,4,4-back,1.1980763560421e-07,9.692422175139301e-08,1.640931118085228e-07,1.7076782790406843e-07,1.1470390771594304e-07,1.259026947896288e-07,9.217699962825722e-08,1.694209239844102e-07,1.8543649835653216e-07,1.1664689040508619e-07,1.726889719533182e-07,1.3615945591524372e-07,2.2868724135510556e-07,2.301157773754761e-07,1.6389111513678639e-07,1.3325934095682748e-07,1.379168014327829e-07,1.86308512347186e-07
16,5,1-back,3.9872541523523065e-08,5.3964234341557825e-08,2.0139795517531312e-08,5.2664851000360344e-08,5.9368023764047485e-08,3.220227719708499e-08,4.6713885389014264e-08,1.555837590444745e-08,4.631873303042172e-08,4.448654974614091e-08,5.278748144406124e-08,5.927585819281709e-08,2.4820256600213504e-08,6.164635665883867e-08,6.853920294930509e-08,4.520188922940401e-08,3.7055964253421875e-08,5.3413831169047123e-08
17,5,2-back,3.6877882357536045e-08,4.0849664527421897e-08,1.8807764239689935e-08,4.3772735673496135e-08,8.872366685096055e-08,3.5416846435505235e-08,3.787863903220527e-08,1.8126450939923997e-08,3.692659353490461e-08,4.584487238198224e-08,4.403877416830583e-08,5.0574040336592185e-08,2.293892917814581e-08,5.439842273738579e-08,6.754997038496431e-08,4.580634272982091e-08,3.483868046490427e-08,4.790002736107879e-08
18,5,3-back,3.374721566184264e-08,3.927795443672424e-08,1.757565821460628e-08,4.435856908567179e-08,7.237155128922126e-08,3.299110960261539e-08,3.760100461954783e-08,1.5862886700619204e-08,4.071083877449361e-08,4.7238272331654066e-08,3.988296930367064e-08,4.4358463603122886e-08,2.2243663045146154e-08,4.6736413401951596e-08,6.794064846253901e-08,4.146618973761325e-08,3.488082240578602e-08,4.423243156328605e-08
19,5,4-back,4.3445117419152405e-08,5.0651982544958674e-08,2.5313752114642718e-08,5.11703828878534e-08,5.585880407001964e-08,3.7627430497567166e-08,4.928481221848009e-08,2.4985375407353727e-08,4.9969377836225555e-08,5.013836062716265e-08,5.188444660823856e-08,6.11822565207982e-08,3.551465459450275e-08,6.447530635555383e-08,7.84650882126111e-08,4.528800780732537e-08,4.240107131735784e-08,5.8304350458340886e-08
20,6,1-back,4.450180905666105e-08,3.680164647579723e-08,3.744066014693324e-08,2.572071933844548e-08,4.418914136787299e-08,3.826533623426539e-08,2.8810872194668376e-08,2.791803267724902e-08,1.637660458392846e-08,3.6605554953074816e-08,5.0759208127166994e-08,4.2878718367946724e-08,4.1042142410874576e-08,2.7796170510378625e-08,5.473117046476783e-08,3.7730795277142e-08,2.959528012863721e-08,4.344148197622695e-08
21,6,2-back,6.133195741497016e-08,3.080145050663755e-08,3.5280862363380065e-08,2.5695913768098277e-08,3.933616985044171e-08,5.1047175697643023e-08,1.987948532833828e-08,1.8029524469270087e-08,1.1184974913461689e-08,2.7706321589644407e-08,7.580522467944895e-08,3.390650514707215e-08,3.0142959383285814e-08,1.877264908988718e-08,4.4642319738043235e-08,3.848927078070555e-08,2.55694963996715e-08,4.0653931607547467e-08
22,6,3-back,5.58005626811619e-08,3.3608229271401224e-08,4.381977836249086e-08,3.577882201298974e-08,4.2059001712044804e-08,4.6825574696362345e-08,2.4022975025439905e-08,3.5151260012305455e-08,1.9378685432306277e-08,3.371851959084725e-08,7.256891575652234e-08,4.434445114447284e-08,5.5505320678228535e-08,3.611650708496458e-08,4.735366414300076e-08,4.221327880801771e-08,3.181940295145225e-08,5.117777176143782e-08
23,6,4-back,5.038157065367405e-08,4.009382811762749e-08,1.0846926960982351e-07,4.085228083611604e-08,5.106556502315216e-08,4.3929566538188685e-08,3.49291243897536e-08,4.291602697890141e-08,2.992624168772496e-08,4.567909210243036e-08,6.415550894082968e-08,5.4050812494829294e-08,8.504191178532995e-08,5.2794309206202414e-08,6.840694636766536e-08,5.817250284807865e-08,3.947601033939981e-08,6.488989775897134e-08
24,7,1-back,7.751500477275749e-08,6.562606780795108e-08,1.343179551472128e-07,9.394413518927459e-08,7.433495549262222e-08,4.221646451614938e-08,4.270935757717099e-08,3.2093771132420816e-08,3.2792506060764664e-08,4.850808329389236e-08,1.2268008116446004e-07,1.0927118826624417e-07,2.537535854293213e-07,1.7291847678690827e-07,1.1003862395754455e-07,8.914762368196364e-08,3.966403651607964e-08,1.5373239112089567e-07
25,7,2-back,6.96389555309765e-08,5.249354911621421e-08,1.203725992561188e-07,7.495297323394528e-08,6.146955760691054e-08,4.3194328735557245e-08,3.0668416513884474e-08,3.2437047096159025e-08,2.993944528978592e-08,3.86640369322441e-08,1.0643917031541617e-07,7.091953848612898e-08,2.2929298634724972e-07,1.2579685968951213e-07,7.985928303043703e-08,7.578552694883306e-08,3.4980654913526155e-08,1.224615675737488e-07
26,7,3-back,1.180337058120122e-07,9.981903016779676e-08,2.2071120592691697e-07,1.542782366366619e-07,1.1098925001634594e-07,8.73868061734018e-08,7.137585987194418e-08,1.823134397789136e-07,1.317700796757173e-07,7.63861860358461e-08,1.233434542503001e-07,1.0827936103103833e-07,3.023373158234832e-07,2.0315331677812129e-07,1.1891441051374878e-07,1.4076628571194676e-07,1.0984647430716459e-07,1.7120557167933833e-07
27,7,4-back,1.2393653064307866e-07,9.857189132209285e-08,2.2984667537960596e-07,1.5596323728857972e-07,1.1759177176242608e-07,1.0962785672612433e-07,7.922091430336515e-08,2.771815733490929e-07,1.5588643141495837e-07,9.589679369965429e-08,1.594698606949866e-07,1.2948483105048697e-07,3.444301945267535e-07,2.3221387633999682e-07,1.4486174306322546e-07,1.4518202127915665e-07,1.4356271389863903e-07,2.0209210113508987e-07
28,8,1-back,6.835540098195513e-08,6.517199508896777e-08,7.125509204376675e-08,6.102058912997581e-08,7.641801384061711e-08,5.656870458968234e-08,4.4530201498298475e-08,4.94223677879672e-08,2.8315208528772572e-08,5.914570962591643e-08,9.28087234643191e-08,7.927480095714379e-08,1.1052572819493113e-07,8.316706862450727e-08,8.583696963551284e-08,6.844421821705652e-08,4.75964384061274e-08,9.032265817528283e-08
29,8,2-back,6.688139415691087e-08,6.663343545000178e-08,5.89631396506705e-08,4.909851057307056e-08,8.853911761344493e-08,6.275188811883157e-08,5.3217911053519593e-08,5.561043286437055e-08,4.8082822774636906e-08,6.887239945200137e-08,8.421118397717985e-08,8.340013616451616e-08,8.964472321606437e-08,6.996727894301034e-08,1.1007943892337342e-07,6.602311948881971e-08,5.7707090852672e-08,8.746055224482883e-08
30,8,3-back,4.914948274778112e-08,4.633167279987582e-08,4.1434174565413916e-08,3.295412598786e-08,6.540864551274778e-08,5.131380330707767e-08,4.2661713613687606e-08,3.8555711800181e-08,2.410398150823644e-08,6.293226456228256e-08,5.594081813268452e-08,5.720504671783821e-08,4.579051508961752e-08,3.7393435943560014e-08,7.350732039042747e-08,4.705562032273573e-08,4.391349495829305e-08,5.3967427254825544e-08
31,8,4-back,7.288883882709058e-08,7.626794523186613e-08,7.373004296914036e-08,7.129384826993212e-08,9.165743560065865e-08,5.352169848290576e-08,5.6687171150232346e-08,5.919716408178058e-08,5.165399289653622e-08,7.681047271514047e-08,9.671771781203155e-08,1.0577507843179263e-07,8.863300667274833e-08,9.683996152672024e-08,1.217968123755249e-07,7.716762217973756e-08,5.957409986531907e-08,1.0195251536376351e-07
32,9,1-back,9.321826429631063e-08,1.0527610809189538e-07,7.969858934555697e-08,9.273355720622934e-08,1.0838947836599586e-07,7.923253204616065e-08,9.238657869053897e-08,4.316543191903892e-08,5.8925671029169186e-08,8.923463577306208e-08,1.1437636968694516e-07,1.1948761231647235e-07,1.0323398656197786e-07,9.485387640697774e-08,1.2783353927824424e-07,9.586319946119763e-08,7.258896989159396e-08,1.1195707685012348e-07
